,Shape_type,Latitude,r_pl,l_pl,t_pl,V_pl,S_pl,V_T,Shape_factor,Density,time_length
4534,film,13.7,3.0727013282539455e-05,0.010831,0.00047752,1.2152052965525874e-13,2.751280617238798e-08,1.2152052965525874e-13,0.3049303652175414,964,500
4535,fiber,13.7,3.5983303346135114e-05,0.000167,0.00702046,1.9516039991405604e-13,2.4912101040784118e-08,1.9516039991405604e-13,0.49876817499972004,894,500
4536,sphere,13.7,6.0606934743854065e-05,0.012367,0.00095704,9.325144459697862e-13,4.615879931451323e-08,9.325144459697862e-13,0.8,935,500
4537,fiber,13.7,6.544993788074285e-05,0.000745,0.00918916,1.1744007647634432e-12,1.1116101122081962e-07,1.1744007647634432e-12,0.20433815455567086,872,500
4538,film,13.7,0.0001992244365132313,0.008272,0.00170742,3.312199068700359e-11,8.818088780307042e-07,3.312199068700359e-11,0.39994991929640067,993,500
4539,sphere,13.7,5.960197620296197e-05,0.01055,0.00335023,8.86891695821129e-13,4.4640719267478965e-08,8.86891695821129e-13,0.9,927,500
4540,fiber,13.7,0.0002099973199130391,0.002424,0.00870931,3.879090086307992e-11,1.151027978138085e-06,3.879090086307992e-11,0.20115665080246273,998,500
4541,film,13.7,4.033866317339005e-05,0.011387999999999999,0.00034819,2.749496137902238e-13,3.626414318204965e-08,2.749496137902238e-13,0.3987130482023262,932,500
4542,sphere,13.7,1.59887559743157e-05,0.004680999999999999,0.00192536,1.7121138164680685e-14,3.212470975012198e-09,1.7121138164680685e-14,0.9,930,500
4543,fiber,13.7,0.00010338266347527822,0.001196,0.00029257,4.628409323553428e-12,2.7922594559146744e-07,4.628409323553428e-12,0.2006551461422718,949,500
4544,film,13.7,1.7199675622739506e-05,0.007218,1.216e-05,2.131323524642371e-14,5.310130546837887e-09,2.131323524642371e-14,0.49502847474067274,865,500
4545,film,13.7,0.00013595921644797858,0.00149,0.00034573,1.0527241072963406e-11,2.7475921093041323e-07,1.0527241072963406e-11,0.5978055074114607,895,500
4546,sphere,13.7,2.297720893716324e-05,0.011925999999999999,0.00970853,5.081365440335273e-14,6.634442139031988e-09,5.081365440335273e-14,0.8,918,500
4547,fiber,13.7,6.546687840359574e-05,0.000235,0.00228134,1.1753129174803557e-12,7.891893386470382e-08,1.1753129174803557e-12,0.6025675183167911,937,500
4548,fiber,13.7,0.0004251144803622764,0.000139,0.00982126,3.218150156701257e-10,1.0010612050791971e-05,3.218150156701257e-10,0.19693487692726797,975,500
4549,sphere,13.7,7.44760197543166e-05,0.007645,0.00067669,1.7303660462749656e-12,6.970160537511838e-08,1.7303660462749656e-12,0.9,935,500
4550,fiber,13.7,3.7141022064419725e-05,0.00017199999999999998,0.0039488100000000005,2.1461010220395104e-13,2.652838032455814e-08,2.1461010220395104e-13,0.4996470237793276,910,500
4551,fiber,13.7,4.766930568316607e-05,0.00021899999999999998,0.00342675,4.537379330718375e-13,4.36244392057581e-08,4.537379330718375e-13,0.5028898258070476,948,500
4552,fiber,13.7,9.280677113276698e-05,0.00025,0.00355637,3.3483249508161817e-12,1.5613573168625558e-07,3.3483249508161817e-12,0.7041196492453525,962,500
4553,fiber,13.7,2.6243723966155416e-05,0.00011999999999999999,0.00777553,7.57120477975798e-14,1.3208821651155695e-08,7.57120477975798e-14,0.5048069701641675,993,500
4554,film,13.7,2.37312176470127e-05,0.008825,0.00020822,5.5982034367006465e-14,1.2640649210427832e-08,5.5982034367006465e-14,0.39588179573792653,907,500
4555,film,13.7,0.0001680826634354262,0.006214,0.00275763,1.9891034613492674e-11,8.446622863246218e-07,1.9891034613492674e-11,0.29720602217229775,940,500
4556,fiber,13.7,2.8564658853873775e-05,0.000337,0.00840614,9.76283016425259e-14,2.1492087339219556e-08,9.76283016425259e-14,0.1962732690248068,871,500
4557,film,13.7,9.127392916815842e-05,0.0050669999999999995,0.0014659900000000001,3.1851423661323872e-12,2.465792466588641e-07,3.1851423661323872e-12,0.30021461988603115,885,500
4558,film,13.7,5.988710667137187e-05,0.012405999999999999,0.0005157100000000001,8.996811137711822e-13,7.984665143686627e-08,8.996811137711822e-13,0.3991212228318139,974,500
4559,film,13.7,1.559434353450647e-05,0.0056489999999999995,1.91e-05,1.5885098094611778e-14,3.6159758093876253e-09,1.5885098094611778e-14,0.5975903066277023,860,500
4560,fiber,13.7,8.68395673619826e-05,0.000703,0.0035433,2.7430995105354045e-12,1.7127740764408515e-07,2.7430995105354045e-12,0.2956975043534527,987,500
4561,fiber,13.7,0.0001293362708151711,0.00047099999999999996,0.00598056,9.062533256836351e-12,3.085650620913752e-07,9.062533256836351e-12,0.5968922871251308,911,500
4562,fiber,13.7,0.00020842614316392876,0.000576,0.00126027,3.792671130061837e-11,7.8732863896871e-07,3.792671130061837e-11,0.6963126829290364,990,500
4563,fiber,13.7,2.9679636052345777e-05,3.4e-05,0.00422469,1.0951265866584785e-13,1.9724164286044903e-08,1.0951265866584785e-13,0.7030607904487219,997,500
4564,fiber,13.7,2.5418460166657505e-06,1.4999999999999999e-05,0.00535434,6.879174443835485e-17,1.3221693041247308e-10,6.879174443835485e-17,0.40429203970459754,903,500
4565,sphere,13.7,0.00018048138901601327,0.001762,0.00306056,2.462554684891631e-11,4.0933107258053187e-07,2.462554684891631e-11,0.9,990,500
4566,fiber,13.7,0.00014401588243711174,0.0008669999999999999,0.0013616000000000001,1.2511799573408874e-11,4.269353432421589e-07,1.2511799573408874e-11,0.3968242507274175,988,500
