,Shape_type,Latitude,r_pl,l_pl,t_pl,V_pl,S_pl,V_T,Shape_factor,Density,time_length
71,sphere,13.5,3.0368821904717375e-05,0.0073219999999999995,0.00546961,1.1732010510464766e-13,1.1589528115981042e-08,1.1732010510464766e-13,0.9,862,500
72,fiber,13.5,0.00022572120250300215,0.000816,0.00871994,4.817321984750145e-11,9.389773742845486e-07,4.817321984750145e-11,0.59978453030389,947,500
73,fiber,13.5,0.00011025756759522307,0.000652,0.00662928,5.614535484756293e-12,2.4892443227023746e-07,5.614535484756293e-12,0.4035156403335516,938,500
74,film,13.5,2.7979076593143127e-07,0.009268,2.42e-06,9.174633844931094e-20,1.7461715124742442e-12,9.174633844931094e-20,0.3983590809796721,902,500
75,fiber,13.5,5.426420218719292e-06,6.4e-05,0.00574228,6.693124076632714e-16,7.755165471741353e-10,6.693124076632714e-16,0.19634172071441372,948,500
76,film,13.5,3.576457046469656e-05,0.009873,0.00057403,1.9162300649498088e-13,3.7846499625101326e-08,1.9162300649498088e-13,0.30031372083518226,918,500
77,film,13.5,7.079282016029796e-05,0.008303,0.0025454,1.4861281139053962e-12,2.191950976687954e-07,1.4861281139053962e-12,0.2031619892237015,993,500
78,fiber,13.5,3.0905422205705486e-05,2.7e-05,0.00856452,1.2364958189292438e-13,2.479559442875802e-08,1.2364958189292438e-13,0.5976952667480144,979,500
79,sphere,13.5,0.00012361661343990941,0.002077,0.00083024,7.912598587771299e-12,1.920275527921087e-07,7.912598587771299e-12,0.8,979,500
80,sphere,13.5,7.000506735251417e-05,0.0012569999999999999,0.0055808,1.4370670861555405e-12,6.158413128520171e-08,1.4370670861555405e-12,0.9,935,500
81,fiber,13.5,0.0001374045987535491,0.000815,0.00296666,1.0866568299686424e-11,3.8693584741437547e-07,1.0866568299686424e-11,0.4023771751515801,975,500
82,fiber,13.5,3.909447168629291e-05,0.000317,0.00725748,2.5028490350416005e-13,3.4733789401146056e-08,2.5028490350416005e-13,0.29519690659967257,856,500
83,fiber,13.5,3.097397100418798e-05,0.000113,0.0075105300000000005,1.2447417934770276e-13,1.7701026289199212e-08,1.2447417934770276e-13,0.5961813146163525,902,500
84,fiber,13.5,0.00015443664420634572,8.8e-05,0.009597360000000001,1.5429067455719778e-11,8.319431811748478e-07,1.5429067455719778e-11,0.40156724033524716,934,500
85,fiber,13.5,5.588144488413916e-05,0.000659,0.00168406,7.309564281891761e-13,8.223923121535825e-08,7.309564281891761e-13,0.19636657905252344,962,500
86,sphere,13.5,2.63491561759253e-05,0.012728999999999999,0.00072015,7.662822118611003e-14,8.724555049256992e-09,7.662822118611003e-14,0.8,885,500
87,fiber,13.5,3.733620678991516e-05,0.00017099999999999998,0.00109596,2.1801139260410958e-13,2.6743933700947477e-08,2.1801139260410958e-13,0.5041425836930675,923,500
88,film,13.5,0.00011818565904665473,0.012027999999999999,0.00058104,6.914853019546361e-12,2.484997544189161e-07,6.914853019546361e-12,0.4994574148528885,927,500
89,sphere,13.5,4.343753345107821e-05,0.002333,0.00435642,3.4330812227192164e-13,2.3710470760862234e-08,3.4330812227192164e-13,0.8,968,500
90,fiber,13.5,3.165210746133828e-05,0.000148,0.00392483,1.3283010130461878e-13,1.9307523461570246e-08,1.3283010130461878e-13,0.4957402788424508,901,500
91,film,13.5,3.325995601895323e-05,0.005186,0.00028134,1.541180910554795e-13,2.44381065468976e-08,1.541180910554795e-13,0.4022264754556975,912,500
92,fiber,13.5,0.00010724849065009404,0.000294,0.00593969,5.167282149575168e-12,2.084718628875594e-07,5.167282149575168e-12,0.6988156153595697,977,500
93,sphere,13.5,0.0003244043937089408,0.012097,0.00088128,1.4300419980757002e-10,1.3224623579162277e-06,1.4300419980757002e-10,0.8,932,500
94,fiber,13.5,4.651081322163248e-05,3.2999999999999996e-05,0.00466552,4.21454221583044e-13,6.430553221036255e-08,4.21454221583044e-13,0.5023372551344913,989,500
95,fiber,13.5,6.284290928122285e-05,0.000375,0.00218286,1.03957889990665e-12,8.108098510211849e-08,1.03957889990665e-12,0.40011870790722903,912,500
96,film,13.5,1.1691098800078435e-05,0.005235999999999999,5.8620000000000005e-05,6.693520555085908e-15,2.4488921624095878e-09,6.693520555085908e-15,0.49594768376729426,871,500
97,film,13.5,0.00010335757717713574,0.0054329999999999995,0.00395942,4.625040824038255e-12,4.82045924985036e-07,4.625040824038255e-12,0.19692057313794561,950,500
98,sphere,13.5,0.00010864014557762373,0.004046,0.00988025,5.3710553261111185e-12,1.4831686659348635e-07,5.3710553261111185e-12,0.9,861,500
99,fiber,13.5,0.00039734826949325454,0.004543999999999999,0.00400744,2.627862195229846e-10,4.105020575434066e-06,2.627862195229846e-10,0.20327499772751353,877,500
